2024-12-26 21:11:19 | Operation: Create File | Result: file1.txt
2024-12-26 21:13:01 | Operation: Copy File | Result: /Users/hayrunnisacelik/Desktop/File_manager/example.txt
2024-12-27 16:00:50 | Operation: Change Permissions | Result: /Users/hayrunnisacelik/Desktop/File_manager/logger.h
2024-12-27 16:02:34 | Operation: Change Permissions | Result: /Users/hayrunnisacelik/Desktop/File_manager/logger.h
2024-12-27 16:06:41 | Operation: Change Permissions | Result: /Users/hayrunnisacelik/Desktop/File_manager/utils.h
2024-12-27 16:10:09 | Operation: Change Permissions | Result: /Users/hayrunnisacelik/Desktop/File_manager/utils.h
2024-12-27 16:13:08 | Operation: Delete File | Result: /Users/hayrunnisacelik/Desktop/File_manager/rem.txt
2024-12-27 16:15:43 | Operation: Create File | Result: /Users/hayrunnisacelik/Desktop/File_manager/hay
2024-12-27 16:19:25 | Operation: Create Folder | Result: /Users/hayrunnisacelik/Desktop/File_manager/hay
2024-12-27 16:22:08 | Operation: Delete Folder | Result: /Users/hayrunnisacelik/Desktop/File_manager/hay
2024-12-27 16:23:35 | Operation: Change Permissions | Result: /Users/hayrunnisacelik/Desktop/File_manager/hay
2024-12-27 16:34:47 | Operation: Clear Terminal | Result: N/A
2024-12-27 16:36:16 | Operation: Copy File | Result: /Users/hayrunnisacelik/Desktop/File_manager/example1.txt
2024-12-27 17:00:14 | Operation: Copy File | Result: /Users/hayrunnisacelik/Desktop/File_manager/example1.txt
2024-12-27 17:00:34 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:00:57 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:01:31 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:01:33 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:01:59 | Operation: Copy File | Result: /Users/hayrunnisacelik/Desktop/File_manager/example1.txt
2024-12-27 17:02:24 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:02:44 | Operation: Delete File | Result: /Users/hayrunnisacelik/Desktop/File_manager/remove.txt
2024-12-27 17:03:21 | Operation: Create File | Result: /Users/hayrunnisacelik/Downloads/example13.txt
2024-12-27 17:06:28 | Operation: Create File | Result: /Users/hayrunnisacelik/Pictures/file/examplefile.txt
2024-12-27 17:06:58 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:07:49 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:08:15 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:08:37 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:08:51 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:09:22 | Operation: Create Folder | Result: /Users/hayrunnisacelik/Pictures/file/littlefile
2024-12-27 17:10:20 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:14:58 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:15:44 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:16:43 | Operation: Change Permissions | Result: /Users/hayrunnisacelik/Desktop/File_manager/permissionexapmle.txt
2024-12-27 17:17:13 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:17:38 | Operation: Clear Terminal | Result: N/A
2024-12-27 17:18:04 | Operation: Clear Terminal | Result: N/A
